"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1063715604.13577","1200546486.6616","1311101987.65844","1507765895.46233","1641719919.4229","1746181542.57671","1824147622.20799","1893129003.13691","2031449553.05025","2172115724.46926","2436136799.15933","2892531561.71732","3546208611.80142","4583264446.29795","5964254728.92669","8093596689.25377","10461447033.5372","9633680634.65683","9988482236.50203","10160338859.1327","11192556124.9892","11911914266.9672","12047457701.7916","11738591314.7376","11045672826.7053","11621380668.6106","12521390580.5486","13777592544.9172","12529414177.0274","13555497545.2684","16864496346.5623","20271184637.3755","23586569903.903",
"American Samoa","ASM","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","108135196.225228","135303676.700138","151276390.643254","154177556.933823","168592227.776157","198952082.066641","227400687.65127","251312493.608386","309701299.322957","384783066.3924","414621782.69838","444033229.625953","478881847.258763","505457856.807823","551825295.392536","601851220.632295","594974889.555253","652990198.149388","699750211.237736","733869982.618464","780274522.028857","839281427.964338","806867262.38677","825235567.504924","909737604.426134","1011320634.2622","1118864171.69812","1268571989.61303","1413900787.41065","1471440521.10121","1325971277.65626","1228017822.58162","1217125005.60884","1268252548.82007","1277299555.37439","1316067958.13773","1301281332.54","1356337300.99126","1434595321.76569","1587810201.8617","1667846619.26974","1413081847.14665","1540520034.00098","1749943384.10032","1855246703.20138","2004613168.80263",
"Australia","AUS","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","20130891178.8724","21577124113.59","23524082956.4656","25869927656.6235","27328950147.8401","29960314073.8007","32792579848.8186","36511305797.6317","40942750102.5544","44927890849.828","51221176539.9621","62230168796.461","81630486489.8823","100308689268.114","110394796124.892","114695135504.221","121602087538.601","139278906625.914","159098887772.84","177120049860.364","183349820422.076","178092368418.156","186981276370.208","189363375583.316","197129258018.827","204291566755.746","233717643292.013","262329084719.963","295982342290.255","315258593472.179","324594697856.617","334191548120.869","337015662765.691","348754491322.186","375218057980.667","406392730356.327","407958861715.665","406509959554.48","405356308456.514","391827556405.21","393994577847.915","421653386961.295","515189243217.656","620293372915.343","707654616925.255","778775074058.504","901128523062.55","956569409136.996","1030032154957.57","1126104304700.17","1370537555260.8","1528416103087.13","1531110933520.89","1441462730286.21","1308840699663.06","1266055498561.11","1324951828019.18","1390620135689.17","1375516610057.42","1468717768493.45","1579305202101.09","1683419888355.52","1701532748783.19",
"Austria","AUT","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","7708010820.76501","8340229873.43616","9149154370.96615","9925271907.00793","10969882308.3205","11742664219.4844","12762584177.6432","14059678463.2972","15549658423.7684","17402943059.2007","20746260856.1027","27029389260.8825","35219227500.1048","41809495712.869","45051287152.9128","50195477155.9805","56764012948.0727","72328943645.1721","86188341358.5173","84251363475.2884","78339210182.0407","72324624571.4899","69832678302.0395","70549809021.5815","81562898314.5764","104208190697.822","136560415285.427","146461103078.17","157790553468.741","168461461305.98","191533324672.895","195846807773.025","206626554750.229","223197654043.357","238246445852.515","234369108457.772","221850951835.646","215646229656.792","213619225098.708","202592868860.088","200903421362.593","226979584755.887","274658060832.245","316870197979.245","340440931793.999","366922889238.899","406820016711.751","408018268550.588","413677181817.038","422754215302.733","419499223697.207","426222757488.516","426998649220.409","407854356302.746","401752142847.211","394149938959.953","430606839462.603","451944761647.235","436969690468.1","478215709180.576","509249159702.096","504287996072.477","497098263415.624",
"Azerbaijan","AZE","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1149874601.16035","802779412.194164","601751458.601438","1391519161.01566","1885441931.21638","3237745486.5279","4068114820.92783","4785136747.55198","5110511672.62741","5527955021.58048","6009388239.74684","6888920835.26985","8008534102.58155","10804486112.9024","16259496366.0685","23499488368.2111","34137894029.3532","43163404117.7047","48927660343.0819","50392905879.0459","59835882192.441","70172584735.8102","73785677984.4095","63771170595.4099","46729265961.2958","40488379902.8772","40582565591.203","45195408171.217","45239062411.855","49755216857.3998","57455094633.7577","67773531362.7295","74596878603.3505",
"Burundi","BDI","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","206666179.554494","229705021.269166","249136186.894507","218415484.942797","186278497.787107","178801235.584484","176530724.120872","178807836.955545","235185344.339497","250901658.137909","245081171.319052","301256156.150626","348631035.354448","414528989.19878","461778313.282687","545551150.710032","581439793.96126","720310248.681955","896643348.12669","1074923410.5376","1034715176.42286","1019182029.11029","1009821428.96935","1131169775.84309","1201972390.95175","1294120780.37545","1302305820.07228","1210929034.48829","1187230148.14582","1225750918.69182","1192299103.3812","1044187086.06245","955734527.501482","916444361.721301","868857678.24986","906257045.78629","906190341.77017","866791060.371025","859340937.275325","843865403.329829","862872253.008973","827371846.908312","887399115.972421","995526629.395082","1175592856.97361","1332125464.5997","1516882370.28305","1667671719.616","1895260749.61336","2104211718.85903","2314488332.19314","2477670972.34301","2602424271.86036","2652740332.51081","2698513844.91404","2772946891.68494","2751048867.88195","2752978398.27792","2699979060.64512","2815868449.84815","3117740178.45969","3041039340.71919","2711217733.54304",
"Belgium","BEL","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","13641591822.983","14476670220.7908","15944458896.7964","17367717278.6368","18879864986.1221","20450916346.9081","22257674651.6643","24648205616.285","27304581820.6037","29991013551.217","35350537134.4608","45680738489.9515","58593476743.6711","67734022203.7714","74457868952.8341","80808471159.179","94084076046.8354","115562722232.11","137826291638.493","130079946990.672","110218089785.699","92902069004.7196","87358379562.596","86990552646.4333","100256154150.311","129247168298.374","168426361949.496","179183426805.555","192493996221.605","205932197508.41","232729156002.271","236050839782.394","253794929847.933","274407357505.036","289994882928.003","289648054876.654","270640573673.885","265718228161.927","265412964617.756","251585505913.397","248630887309.991","281155865501.472","342924439084.092","395908865088.845","421243747110.699","454104374933.105","498712281398.944","508744313238.15","513326114539.438","515658836744.834","523902244712.671","535115796608.989","538554425835.692","513200861929.647","490005006478.761","481262738882.462","525462011323.563","552262304991.162","534574165192.126","592369946168.748","635524360570.277","648574092813.902","651341848516.808",
"Benin","BEN","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","233081244.148711","249823276.529326","271737334.715138","292322671.905726","308228074.570498","314614211.283279","333126806.156315","344766352.116977","352437255.82658","347345820.906677","397398703.097615","487765487.379995","599423384.613615","668407934.684283","706757958.34787","787514376.518393","876798112.519374","1113346652.91576","1433291410.86597","1561860215.55996","1427034075.77469","1156983671.23025","1121503753.34619","1114750070.69182","1202357091.96557","1390353443.99067","1698144660.86759","1635602547.95671","1825173505.13904","1953417688.84552","1947363956.34967","2105179022.77853","1894285393.73572","2098301533.35283","2130455437.30074","2374740827.67172","2403760111.85444","2762941343.39537","3285462999.59517","3783167900.55631","3890714812.49089","4536166167.59983","5655949819.59524","6571349613.25438","7082441114.55189","7808105575.65281","8977720950.49351","9725278104.95944","9953915592.74776","10357335414.1393","10942496021.0542","12214953760.7466","13069865716.3719","12492450828.6316","12171124091.5211","12308707529.4218","13827117872.9177","14878909136.2705","15552220816.2552","17152711392.7809","18679223216.3568","19618473433.2909","20642195713.199",
"Burkina Faso","BFA","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","387079233.955402","387900779.669738","408452225.501187","428515759.623359","440441286.239088","474418479.012029","488390595.056806","495557663.699041","492796321.250764","503420899.406982","551659417.297601","657214246.33789","829367840.737615","962066238.887139","1040581437.46054","1100289200.56986","1307248243.92662","1672887524.75007","2016183085.81972","2079799215.7053","2020634180.28448","1726429076.21503","1550335317.27796","1600017144.50069","1864882213.18475","2189871551.03872","2715942816.04706","2828813292.72059","2922762679.13095","3227199420.92345","3445118326.4277","3421404998.97831","2733946300.75545","2559493172.72045","2562019871.72973","2682136813.27154","2729578649.92723","3003739874.31203","3135673598.47197","3302319448.76934","3339651440.17816","4053974304.16322","5021639687.95271","6137861202.43977","6734050963.72544","7275158296.36519","8431017728.0989","9277584612.73204","10111306844.9205","10923947116.1108","12119235602.2805","13218406478.005","13374188290.8385","12719827561.6676","12626356083.9431","12947522457.5114","14844368558.9627","15808056720.9572","16678684589.9158","18355251578.1944","19356556225.2465","19697494427.106","20656399353.0211",
